alcaldia,fechaingreso,areadato,gestionpor,clasedato,datoespecifico,tipovalordato,valordato,parroquia
Valencia,01-12-26,1,1,3,Caudal de entrada Planta Pao,1,4500,San José
Puerto Cabello,02-05-26,3,2,1,Falla en transformador principal,3,TRUE,Bartolomé Salom
Naguanagua,03-15-26,12,1,4,Hueco en vía principal Av. Universidad,5,"10.2783, -68.0125",Naguanagua
Guacara,01-20-26,8,3,2,Disponibilidad de insumos quirúrgicos,2,Stock al 85%,Yagua
San Diego,02-28-26,6,1,3,Afluencia de personas en Parque Metropolitano,1,1200,San Diego
Bejuma,03-10-26,4,1,2,Estado de infraestructura escolar,2,Mantenimiento preventivo requerido,Canoabo
Carlos Arvelo,01-05-26,11,2,1,Retraso en rutas de transporte suburbano,3,TRUE,Güigüe
Diego Ibarra,02-14-26,5,1,3,Consumo eléctrico promedio sectorial,1,320,Mariara
J. Iturriza,03-22-26,7,3,1,Frecuencia de recolección de desechos,1,3,Morón
Libertador,01-30-26,9,1,2,Reporte de patrullaje preventivo,2,Sin incidencias relevantes,Tocuyito
Los Guayos,02-11-26,10,2,4,Ubicación de nueva antena 5G,5,"10.1834, -67.9321",Los Guayos
Miranda,03-01-26,2,1,3,Nivel de saturación colectores,1,65,Miranda
Montalbán,01-18-26,12,3,1,Plan de bacheo calle principal,4,04-15-26,Montalbán
San Joaquín,02-20-26,1,1,2,Calidad de agua por cloración,2,Óptima,San Joaquín
Valencia,03-25-26,3,1,4,Luminaria fundida poste V-44,5,"10.1654, -68.0012",Miguel Peña
Puerto Cabello,01-09-26,11,2,3,Arribo de contenedores puerto,1,140,Unión
Naguanagua,02-26-26,6,1,2,Estado de áreas verdes distribuidor,2,Podado reciente,Naguanagua
Guacara,03-14-26,5,3,1,Corte programado por mantenimiento,4,03-20-26,Ciudad Alianza
San Diego,01-22-26,8,1,1,Inauguración centro de salud primaria,4,02-10-26,San Diego
Bejuma,02-08-26,7,2,3,Tonelaje de desechos procesados,1,12.5,Simón Bolívar
Carlos Arvelo,03-12-26,10,1,2,Falla de conectividad ABA,3,FALSE,Tacarigua
Diego Ibarra,01-15-26,12,1,4,Punto crítico por socavación,5,"10.2451, -67.7123",Aguas Calientes
J. Iturriza,02-25-26,1,3,3,Presión en tubería matriz,1,45,Urama
Libertador,03-05-26,4,1,1,Censo estudiantil anual,1,850,Independencia
Los Guayos,01-11-26,9,2,2,Informe de seguridad industrial,2,Cumple normativas,Los Guayos
Miranda,02-19-26,11,1,4,Parada de transporte principal,5,"10.1500, -68.3900",Miranda
Montalbán,03-30-26,8,3,3,Casos de dengue reportados,1,5,Montalbán
San Joaquín,01-02-26,3,1,1,Reparación de cableado hurtado,3,TRUE,San Joaquín
Valencia,02-22-26,2,1,2,Limpieza de canales de drenaje,2,Completado 40%,Negro Primero
Puerto Cabello,03-18-26,6,2,4,Ubicación de nueva plaza,5,"10.4721, -68.0123",Patanemo
Naguanagua,01-25-26,12,1,1,Vialidad dañada por filtración,3,TRUE,Naguanagua
Guacara,02-10-26,1,3,3,Litros por segundo entregados,1,210,Guacara
San Diego,03-03-26,5,1,2,Mejora en subestación local,2,Capacidad aumentada 20%,San Diego
Bejuma,01-29-26,4,2,4,Localización de biblioteca pública,5,"10.1732, -68.2211",Bejuma
Carlos Arvelo,02-17-26,7,1,1,Derrame de residuos en vertedero,3,FALSE,Belén
Diego Ibarra,03-09-26,9,3,3,Índice de delitos menores,1,12,Mariara
J. Iturriza,01-08-26,10,1,2,Velocidad promedio fibra óptica,2,100 Mbps,Morón
Libertador,02-23-26,11,2,1,Incorporación de nuevas unidades,1,15,Tocuyito
Los Guayos,03-19-26,3,1,4,Punto de alumbrado solar,5,"10.1921, -67.9400",Los Guayos
Miranda,01-14-26,8,3,1,Jornada de vacunación masiva,4,01-15-26,Miranda
Montalbán,02-04-26,1,1,2,Mantenimiento de pozos profundos,2,Activo,Montalbán
San Joaquín,03-21-26,2,2,3,Capacidad de planta tratamiento,1,92,San Joaquín
Valencia,01-28-26,12,1,1,Puente con daños estructurales,3,TRUE,Santa Rosa
Puerto Cabello,02-13-26,5,3,2,Inestabilidad de voltaje sectorial,2,Alta frecuencia de picos,Juan José Flores
Naguanagua,03-02-26,6,1,3,Cantidad de árboles plantados,1,500,Naguanagua
