entidad,identificacion,estado,municipio,parroquia,direccion,ubicacion,fecha_inicio,telefono,sector,tipo_entidad,tamano_entidad,contacto,telefono_contacto,web_entidad,instagram_entidad,twitter_entidad,facebook_entidad,capital_humano,productos,capacidad_produccion,instalada,operativa,participacion_mercado,materia_prima
"Laboratorios Farma","","","","","Av. Ppal. de Los Ruices, Edif. Farma, Caracas, Miranda.","","","(0212) 2391433",1,1,"","","","","@laboratoriosfarma.","","","","","","","","",""
"Laboratorios Spefar","","","","","Calle Las Piedritas, Edificio Spefar, Zona Industrial La Trinidad, Caracas 1080.","","","(0212)-9450531/ 0212-945.09.69/ 0212-945.64.46/ 0212-945.37.53",1,1,"","","","","@spefarlab","","","","","","","","",""
"Calox International","","","","","Casa Matriz y Planta Los Ruices: Av. Principal de Los Ruices, Edif. Calox, Caracas, Miranda.","","","(0212) 318 2500",1,1,"","","","","@caloxvenezuela.","","","","","","","","",""
"Bioquímica Internacional C.A.","","","","","Cabudare, Barquisimeto, estado Lara","","","0251-2632245",1,1,"","","","","@bioquimicainternacional.","","","","","","","","",""
"FAEINCA y FARMAINDUSTRIA, C.A","","","","","Av. Henry Ford, C.C. Paseo Las Industrias, locales PB1 y PB2, Valencia, estado Carabobo.","","","0241-832.81.79/ 0241-834.05.07",1,1,"","","","","@farmaindustria.ve.","","","","","","","","",""
"Redvital","","","","","Ubicada en la Autopista Regional del Centro (ARC), sector San Blas - San Diego.","","","0800-8482524 / (0241)300.3700 / (0414)041.4123 / (0241)400.2018 / (0241)401.8643",2,2,"","","","","@redvital.ve","","","","","","","","",""
"Merca Farma","","","","","Calle Páez, entre Calles Boyaca y Farriar, Edif. Laila, Local 97-63 (Frente a La Casa de Páez), Centro, Valencia","","","0412-3413599",2,2,"","","","","@mercafarma","","","","","","","","",""
"Medihome","","","","","Avenida Bolívar Norte, C.C. Paseo Ateneo, justo al lado del Ateneo de Valencia.","","","0424-4130221",2,2,"","","","","@medihome_valencia","","","","","","","","",""
"Locatel","","","","","Av. Paseo Cabriales, Edif. Torre Movilnet, Piso P-B","","","0414-2182936/ 0424-1487947",2,2,"","","","","@locatelvzla","","","","","","","","",""
"La Pastilla Go","","","","","Urbanización Zona Industrial Castillito, San Diego, estado Carabobo","","","+58 414-4112112",2,2,"","","","","@lapastillago","","","","","","","","",""
"Integral Farma","","","","","Calle Girardot, Edif. Clínica del Centro, Valencia","","","",2,2,"","","","","@integralfarma_centro","","","","","","","","",""
"Importmedica","","","","","Avenida Bolívar Norte, Centro Comercial Salva Mall (antiguo Éxito), Local P-1, Valencia, Edo. Carabobo","","","0241-81415507/  0424-8141551",2,2,"","","","","@importmedica.oficial","","","","","","","","",""
"Fundafarmacia","","","","","Avenida Bolívar Norte, entre Calle 154 y 155, Edificio Fundafarmacia (frente al Rectorado de la UC), Valencia","","","0412-3004677",2,2,"","","","","@fundafarmacia_ve","","","","","","","","",""
"Farmex Vzla","","","","","Centro Comercial Salva Mall, Nivel Camaima, Local S-11, Valencia","","","0414-8000013/ 0414-8000014",2,2,"","","","","@farmexvalencia","","","","","","","","",""
"Farmavivir","","","","","Av. 104, Instituto Docente de Urología (Urológico), Planta Baja, Local N° 4, Urbanización La Viña, Valencia 2001, Carabobo","","","+58 412-1329103",2,2,"","","","","@farmavivir.vzla","","","","","","","","",""
"Farmavalor","","","","","Av. Monseñor Adam, El Viñedo","","","",2,2,"","","","","@farmavalor","","","","","","","","",""
"Farmatodo","","","","","Centro Comercial Sambil Valencia, Locales F-11 / F-13.","","","",2,2,"","","","","","","","","","","","","",""
"Farmamax","","","","","Avenida Bolívar Norte, al lado de la tienda Multimax y diagonal al Centro Comercial La Galería, Valencia","","","",2,2,"","","","","@farmamaxve.","","","","","","","","",""
"Farmaindustria, C.A.","","","","","Avenida Henry Ford, CC Paseo las industrias, Segunda etapa nivel mezzanina local 118 Valencia","","","0241-8325572/ 0241-8325475",2,2,"","","","farmaindustria.com.ve","","","","","","","","",""
"Farmahorro","","","","","Calle Bejuma, C.C. El Trigal, Localidad Valencia","","","0241-8422736",2,2,"","","","","@farmahorrove","","","","","","","","",""
"Farmacias San Ignacio","","","","","Av. Bolívar Norte, al lado del C.C. Camoruco","","","+58 424-4073611",2,2,"","","","","@redfarmagnacio","","","","","","","","",""
"Farmacias Normal Norte","","","","","Calle Naguanagua, Res. Santa Bárbara (al Lado de Focaccias Restaurante), Trigal Centro, Valencia","","","+58 241-8681277",2,2,"","","","","@farmacianormalnor","","","","","","","","",""
"Farmacias Enviamed","","","","","Av. Henry Ford, C.C. Paseo Las Industrias, 2da Etapa, Nivel Mezzanina, Local 118, Valencia","","","(0241) 832.54.75 / (0241) 832.55.72",2,2,"","","","","@enviamedvzla","","","","","","","","",""
"Farmacias Bienstar","","","","","Avenida Intercomunal San Diego, Centro Comercial Tigsa (también referido como C.C. El Tigre), Planta Baja, Local 1","","","0241-8716006/  0241-8354966.",2,2,"","","","","@farmacia.bienstar","","","","","","","","",""
"Farmacia Trincheras(Farmatodo)","","","","","Centro Comercial La Granja, Avenida 102 Universidad con Paseo Venezuela, Urbanización La Granja, Naguanagua 2005, Carabobo","","","0241-8675468/ 0424-2443848",2,2,"","","","","@farmatodovzla","","","","","","","","",""
"Farmacia Teramedic","","","","","Sector Flor Amarillo, Valencia 2003, Carabobo","","","0241-8782835",2,2,"","","","","@fteramedic","","","","","","","","",""
"Farmacia Tacarigua","","","","","Urbanización La Isabelica, Sector 4, Calle 7, Edificio Bloque 9, Local Nro. 00-58, Valencia, Carabobo.","","","+58 424-4082254",2,2,"","","","","@farmaciatacarigua.oficial","","","","","","","","",""
"Farmacia Shekina","","","","","Av. Bolívar Norte, Local 150-21 (a 50Mts. del Restaurante Bodegón de Castilla), Las Acacias, Valencia","","","+58 414-3431816",2,2,"","","","","@farmaciagruposananselmo","","","","","","","","",""
"Farmacia Señorial","","","","","Avenida Bolívar Norte, Centro Comercial Carabobo, Nivel PB, Local 147-77. Se ubica frente al antiguo Éxito.","","","0241-8239565 / 0414-4080574",2,2,"","","","","@fsenorial","","","","","","","","",""
"Farmacia Sebaot San Blas","","","","","Av. Principal de San Blas 1 y 2, Local Nº. 303 (al Lado del Colegio Batalla de Vigirima ll), San Blas 1 y 2, Valencia","","","+58 424-4585487",2,2,"","","","","@farmaciasanblas1","","","","","","","","",""
"Farmacia Sebaot","","","","","Urb. La Quizanda, Calle D, Local 88-75, Valencia 2001/2003. Se encuentra diagonal a la Plaza Valencia.","","","+58 241-5146365 y 0424-4132459",2,2,"","","","","@farmacia_sebaot.quizanda","","","","","","","","",""
"Farmacia Santa Mónica","","","","","Avenida Branger cruce con calle Michelena, Centro Comercial Don Isaac, locales 1 y 2, Valencia 2001, Carabobo.","","","+58 241-8575782 / 241-8580486.",2,2,"","","","","@farmaciasantamonicavzla.","","","","","","","","",""
"Farmacia Santa Cruz","","","","","Avenida Andrés Eloy Blanco, Local 118, Urb. Andrés Eloy Blanco, Valencia 2001, Carabobo.","","","+58 412-4171525",2,2,"","","","","@farmacia.santacruz.ca.","","","","","","","","",""
"Farmacia San Rafael","","","","","Avenida 102 (Díaz Moreno) con Calle 110 (Piar), Sector San Blas, Valencia 2001, Carabobo.","","","(0241)858.8278",2,2,"","","","","","","","","","","","","",""
"Farmacia San Juan Vianney I","","","","","Av. Bolívar Sur, Valencia 2001, Carabobo.","","","+58 414-4097115 y 0241-8358572",2,2,"","","","","@farmacia_sanjuanvianneyi.","","","","","","","","",""
"Farmacia San Jorge","","","","","Local 04, Centro Comercial Villa Tarento, Carretera vía Vigirima, Sector Guacara 2015, Carabobo","","","0245-5810662",2,2,"","","","","","","","","","","","","",""
"Farmacia San Enrique","","","","","Avenida 92-B, Callejón Cabriales, Local 14, Nro. 94-A. Se ubica frente a las Residencias Lara.","","","(0241) 847-1131 / 0414-4160817",2,2,"","","","","@farmaciasanenrique","","","","","","","","",""
"Farmacia San Anselmo","","","","","Calle Laurencio Silva cruce con Calle Urdaneta, N° 92, Casco Central de Guacara, estado Carabobo","","","0412-4402596/ 0245-5647217",2,2,"","","","","@farmaciagruposananselmo","","","","","","","","",""
"Farmacia Saas","","","","","Centro Comercial Girardot, Av. Urdaneta, al lado de Macuto, Valencia.","","","+58 412-7743828.",2,2,"","","","","@farmaciasaas","","","","","","","","",""
"Farmacia Roraima","","","","","Avenida Díaz Moreno con calle Vargas, Centro Comercial Dora, Nivel PB, local N. 104-3, Valencia 2001, Carabobo.","","","+58 424-4974707",2,2,"","","","","@farmaciaroraima.","","","","","","","","",""
"Farmacia Reino de Valencia","","","","","Av. Andrés Eloy Blanco, C.C. Eurocenter, Nivel Planta Baja, Local 03, Valencia 2001, Carabobo.","","","0414-4420059 o 0424-4739595",2,2,"","","","","","","","","","","","","",""
"Farmacia Petros","","","","","Local Nro. 13, Centro Comercial Petros, Calle 58, Av. Sesquicentenario (frente al elevado), Valencia 2003, Carabobo.","","","+58 424-4196938.",2,2,"","","","","","","","","","","","","",""
"Farmacia Palacio II","","","","","Avenida Universidad, Naguanagua 2005, Carabobo.","","","0241-8671184",2,2,"","","","","","","","","","","","","",""
"Farmacia Padre Alexander","","","","","Avenida Padre Alexander con calle Independencia, sector San Blas, Valencia 2001.","","","0412-4171706.",2,2,"","","","","@farmapadrealexander.","","","","","","","","",""
"Farmacia Nuevo Siglo","","","","","Av. Lisandro Alvarado Calle San Juan Vianney, N. 20-251, Frente Al Hospital Central, Valencia 2001, Carabobo.","","","+58 241-8978299",2,2,"","","","farmacianuevosiglo_","","","","","","","","",""
"Farmacia Nueva Tiuna","","","","","Avenida Navas Spínola con calle Martín Tovar, Edificio Río, Valencia 2001, Carabobo","","","0241-8586977",2,2,"","","","","@farmacia.nuevatiuna","","","","","","","","",""
"Farmacia Nor Acacias II","","","","","Calle 133 López Latouche (calle que sube hacia la Cruz Roja), Centro Comercial Mola, Planta Baja, Local 5, Avenida Bolívar Norte, Valencia 2001, Carabobo","","","0414-4994607/ 0241-8212374",2,2,"","","","","@farmacianoracacias","","","","","","","","",""
"Farmacia New Esmeralda","","","","","Centro Comercial La Esmeralda, Planta Baja, San Diego 2006, Carabobo","","","0424-4617498/ 0241-8711445",2,2,"","","","","@farmacianewesmeralda","","","","","","","","",""
"Farmacia Neverí","","","","","Centro Comercial El Portal, Calle Géminis, Planta Baja, Urbanización Trigal Norte, Valencia 2001, Carabobo","","","0414-4376285/ 0241-8428533",2,2,"","","","","@farma_neveri","","","","","","","","",""
"Farmacia Neotrigal","","","","","Avenida Alejo Zuloaga, Urbanización El Trigal (dentro del Centro Mercado Neo Trigal), Valencia 2001, Carabobo","","","0241-8422509",2,2,"","","","","@mercadoneotrigal","","","","","","","","",""
"Farmacia Natura","","","","","Calle Montalbán (6X6V+FJ2), Valencia 2001, Carabobo","","","0241-8220810",2,2,"","","","","","","","","","","","","",""
"Farmacia Natalisha","","","","","Avenida Bolívar Norte, Edificio Torre Valencia, Valencia 2001, Carabobo","","","",2,2,"","","","","","","","","","","","","",""
"Farmacia Muy","","","","","Centro Comercial Las Chimeneas, Local 414, Valencia 2001, Carabobo","","","0412-4170246/ 0241-8423887",2,2,"","","","","@farmacia_muy","","","","","","","","",""
"Farmacia Móvil Fundab","","","","","Valencia","","","(0412)637.0504",2,2,"","","","","@farmamovilfundab","","","","","","","","",""
"Farmacia Moderna","","","","","Calle Colombia, Edificio Farmo, N° 99-53, frente a la Plaza Bolívar, Casco Central de Valencia, Edo. Carabobo","","","0241-8584031 / 0241-8581255/ 0414-4240693",2,2,"","","","","@farmaciamodernaca","","","","","","","","",""
"Farmacia Metrosalud 48","","","","","C.C. Polígono Industrial, Avenida Industrial Uno, Urbanización La Isabelica, Valencia, estado Carabobo","","","0241-8389571",2,2,"","","","","@metrosaludaps","","","","","","","","",""
"Farmacia Matisan","","","","","Avenida principal de Bella Florida, local 193-1, Valencia, estado Carabobo","","","(0412) 4542677",2,2,"","","","","@farmaciamatisan.","","","","","","","","",""
"Farmacia Maria Laura","","","","","Av. Andrés Eloy Blanco, Centro Comercial Cerbaños, Local 104-163, Valencia 2001, Carabobo.","","","0424-3571190",2,2,"","","","","","","","","","","","","",""
"Farmacia Malagón","","","","","Avenida Principal Malagón, Centro Comercial Punto Fijo, Planta Baja, Local C-98-60, Urbanización Malagón, Naguanagua, Edo. Carabobo.","","","0414-9580757/ 0241-9130329",2,2,"","","","","@farmacia.malagon","","","","","","","","",""
"Farmacia Locatel Ciudad Alianza","","","","","C.C. Alianza Mall en Guacara, estado Carabobo","","","0424-1487947",2,2,"","","","","@locatelvzla.","","","","","","","","",""
"Farmacia Locatel","","","","","Sector Jardín Ciudad Mañongo, Naguanagua.","","","0424-1487947",2,2,"","","","","@locatelvzla.","","","","","","","","",""
"Farmacia Libertador A.M 2006","","","","","Calle Morillo, Campo de Carabobo 2035, Carabobo","","","0412-3710096",2,2,"","","","","@libertadoram.","","","","","","","","",""
"Farmacia LG Trigal","","","","","Calle Naguanagua (6274+W47), Valencia 2001, Carabobo.","","","0241-8433554",2,2,"","","","","@farmacialgtrigal.","","","","","","","","",""
"Farmacia LG La Isabelica","","","","","Bloque 24, Edif. 1, La Isabelica, PB, Local 0050, Avenida Este-Oeste 2 (frente a los campos de béisbol), Valencia 2003, Carabobo","","","0412-4125755/ 0241-8388882",2,2,"","","","","@FarmaciaLGVzla","","","","","","","","",""
"Farmacia La Torre","","","","","Avenida 100 Bolívar Sur (diagonal a la Plaza Bolívar), Valencia, Estado Carabobo.","","","0424-4113053",2,2,"","","","","@farmacia_latorre","","","","","","","","",""
"Farmacia La Torre","","","","","Avenida 100 Bolívar Sur (diagonal a la Plaza Bolívar), Valencia, Estado Carabobo.","","","0241-8680051/ 0424-4113053",2,2,"","","","","@farmacia_latorre","","","","","","","","",""
"Farmacia La Reina","","","","","Avenida 73 (Humberto Celli), Local # 64-724, Urbanización La Quizanda (Zona Industrial Municipal Norte), Valencia 2003, Carabobo.","","","0412-5019748/  0424-4097874",2,2,"","","","","@farma_lareina","","","","","","","","",""
"Farmacia La Purísima","","","","","Calle 128, Local No. 15, Callejón Caribean con Av. Andrés Eloy Blanco, Centro Comercial y Profesional Gravina II, Planta Baja, Valencia 2001, Carabobo","","","0241-8248089",2,2,"","","","","","","","","","","","","",""
"Farmacia La Gran Feria 2006","","","","","Avenida Las Ferias, frente a la estación del metro Las Ferias, Valencia, estado Carabobo.","","","0414-4974215",2,2,"","","","","","","","","","","","","",""
"Farmacia Kerdell","","","","","Av. Bolívar Norte, Urbanización Kerdell (frente al Centro Profesional Kerdell), Valencia 2001, Carabobo","","","0414-4274883",2,2,"","","","","","","","","","","","","",""
"Farmacia Guacara","","","","","Av. Carabobo, nivel PB, entre calle Plaza y calle Cedeño (al lado de la Flor de Guacara), Guacara, Edo. Carabobo","","","0245-5642107",2,2,"","","","","@farmaciagruposananselmo","","","","","","","","",""
